"","Region","Region/Country/Area","Year","Infant mortality for both sexes (per 1,000 live births)","Life expectancy at birth for both sexes (years)","Life expectancy at birth for females (years)","Life expectancy at birth for males (years)","Maternal mortality ratio (deaths per 100,000 population)","Population annual rate of increase (percent)","Total fertility rate (children per women)","GDP in constant 2010 prices (millions of US dollars)","GDP in current prices (millions of US dollars)","GDP per capita (US dollars)","GDP real rates of growth (percent)","name","region","sub.region"
"1","Afghanistan",4,"2010",76.7,60,61.3,58.9,584,2.8,6.4,16078,16078,558,3.2,"Afghanistan","Asia","Southern Asia"
"2","Afghanistan",4,"2015",68.6,62.3,63.5,61.1,396,3.2,5.3,20890,20608,611,-1.8,"Afghanistan","Asia","Southern Asia"
"3","Albania",8,"2010",16.8,75.6,78.5,73.2,30,-0.9,1.6,11927,11927,4056,3.7,"Albania","Europe","Southern Europe"
"4","Albania",8,"2015",14.6,77.7,79.9,75.6,29,-0.1,1.7,13035,11335,3877,2.2,"Albania","Europe","Southern Europe"
"5","Algeria",12,"2010",32.6,73.9,75.2,72.6,147,1.6,2.7,161207,161207,4463,3.6,"Algeria","Africa","Northern Africa"
"6","Algeria",12,"2015",27.7,75.3,76.5,74.1,140,2,3,189797,165874,4160,3.7,"Algeria","Africa","Northern Africa"
"7","American Samoa",16,"2010",NA,NA,NA,NA,NA,-1.2,NA,NA,NA,NA,NA,"American Samoa","Oceania","Polynesia"
"8","American Samoa",16,"2015",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"American Samoa","Oceania","Polynesia"
"9","Andorra",20,"2010",NA,NA,NA,NA,NA,1.4,1.2,3355,3355,39734,-5.4,"Andorra","Europe","Southern Europe"
"10","Andorra",20,"2015",NA,NA,NA,NA,NA,-1.6,NA,3258,2812,36040,0.8,"Andorra","Europe","Southern Europe"
"11","Angola",24,"2010",83.8,55.6,58.2,53,561,3.6,6.4,83799,83799,3586,4.7,"Angola","Africa","Sub-Saharan Africa"
